% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=3, Fri Sep 21 16:35:21 2018)
1	128	3.0724e+00	2.00e+00	1.798883974991299e+02	1.798883974991299e+02	2.484716613913679e+02	1.541710539847258e+03	6.3246e-01	4	1.7061e+00	1	5.7925e-01
2	256	3.3625e+00	3.83e+00	1.266846139347033e+02	1.266846139347033e+02	2.483289275727278e+02	3.152462498035804e+04	4.6949e-01	2	7.4674e-01	1	3.0547e-01
3	384	3.1935e+00	2.83e+00	1.206783427317242e+02	1.206783427317242e+02	2.349590549026255e+02	1.047003301748594e+04	2.7010e-01	2	4.7796e-01	1	2.4140e-01
4	512	3.4147e+00	2.62e+00	1.155256693038143e+02	1.155256693038143e+02	2.091500657732127e+02	2.264652560608975e+04	1.8965e-01	2	3.2841e-01	1	1.9995e-01
5	640	3.3352e+00	2.73e+00	1.155256693038143e+02	1.341100120298283e+02	2.036392940672304e+02	5.187798518916674e+04	1.2717e-01	2	2.3382e-01	4	1.2880e-01
6	768	4.0760e+00	3.09e+00	1.082454415453981e+02	1.082454415453981e+02	1.698124349439283e+02	7.937719543107378e+02	9.2749e-02	2	1.7766e-01	4	9.9625e-02
7	896	4.9453e+00	3.57e+00	6.716376269819243e+01	6.716376269819243e+01	1.601524263394218e+02	1.367122637491377e+04	6.9454e-02	3	1.2206e-01	4	8.3630e-02
8	1024	5.5430e+00	3.39e+00	5.162714605470585e+01	5.162714605470585e+01	1.462938389291201e+02	3.348479222817000e+03	5.2704e-02	3	8.4508e-02	1	6.3815e-02
9	1152	6.3011e+00	3.43e+00	3.430968041561773e+01	3.430968041561773e+01	1.184978511470685e+02	9.172195060918301e+02	3.1431e-02	4	6.6879e-02	2	4.3263e-02
10	1280	6.4204e+00	3.89e+00	3.430968041561773e+01	3.967826117922713e+01	1.055254827878759e+02	2.162800467271793e+06	2.0785e-02	4	4.8239e-02	2	3.2382e-02
11	1408	6.2152e+00	5.27e+00	3.430968041561773e+01	3.647599280246827e+01	8.516376453681957e+01	7.314644824041393e+04	1.1889e-02	4	3.3234e-02	2	2.1308e-02
12	1536	6.1981e+00	4.73e+00	3.430968041561773e+01	3.639844662149171e+01	6.402678130408080e+01	2.005031613498920e+03	8.4554e-03	4	2.4363e-02	2	1.6684e-02
13	1664	6.8693e+00	4.38e+00	3.207430817704766e+01	3.207430817704766e+01	5.049955360776661e+01	1.173828994859053e+03	6.4730e-03	4	2.3596e-02	2	1.3495e-02
14	1792	6.3719e+00	6.23e+00	3.115780887733639e+01	3.115780887733639e+01	4.903356204868471e+01	5.007625396658353e+06	4.1045e-03	4	1.2238e-02	2	8.8760e-03
15	1920	6.6851e+00	4.24e+00	2.992283570183850e+01	2.992283570183850e+01	3.657546977240497e+01	1.407277512998209e+02	3.4422e-03	4	1.0621e-02	2	5.2335e-03
16	2048	5.9709e+00	4.89e+00	2.967288336296031e+01	2.967288336296031e+01	3.350484455135190e+01	1.246008422132647e+02	2.3947e-03	4	6.2008e-03	2	4.2315e-03
