# Wed Apr  3 10:42:34 2019

# input dimensionality
5

# covariance function
CovSum(CovSEiso, CovNoise)

# log-hyperparameter
0.1295303991 -3.698674232 -7.704806838 

# data (target value in first column)
0.031477 0.5 0.106145 1 1 0.375
0.024497 0.5 0.106145 1 0.333333 0.375
0.033472 0.5 0.106145 0 0.666667 0.375
0.032637 0.5 0.106145 0 0 0.375
0.034901 0.5 0.106145 0 1 0.375
0.032634 0.5 0.106145 0 0.333333 0.375
0.029184 0.5 0.106145 0.333333 0.666667 0.375
0.027515 0.5 0.106145 0.333333 0 0.375
0.03109 0.5 0.106145 0.333333 1 0.375
0.028108 0.5 0.106145 0.333333 0.333333 0.375
0.027516 0.5 0.329609 0.666667 0.666667 0.375
0.025252 0.5 0.329609 0.666667 0 0.375
0.030851 0.5 0.329609 0.666667 1 0.375
0.025964 0.5 0.329609 0.666667 0.333333 0.375
0.028015 0.5 0.329609 1 0.666667 0.375
0.023279 0.5 0.329609 1 0 0.375
0.03275 0.5 0.329609 1 1 0.375
0.025021 0.5 0.329609 1 0.333333 0.375
0.03371 0.5 0.329609 0 0.666667 0.375
0.033351 0.5 0.329609 0 0 0.375
0.03514 0.5 0.329609 0 1 0.375
0.033111 0.5 0.329609 0 0.333333 0.375
0.029541 0.5 0.329609 0.333333 0.666667 0.375
0.028587 0.5 0.329609 0.333333 0 0.375
0.031447 0.5 0.329609 0.333333 1 0.375
0.028466 0.5 0.329609 0.333333 0.333333 0.375
0.031328 1 0.553073 0.666667 0.666667 0.375
0.028825 1 0.553073 0.666667 0 0.375
0.033949 1 0.553073 0.666667 1 0.375
0.029776 1 0.553073 0.666667 0.333333 0.375
0.030374 1 0.553073 1 0.666667 0.375
0.02683 1 0.553073 1 0 0.375
0.034147 1 0.553073 1 1 0.375
0.028267 1 0.553073 1 0.333333 0.375
0.037403 1 0.553073 0 0.666667 0.375
0.036329 1 0.553073 0 0 0.375
0.039071 1 0.553073 0 1 0.375
0.036207 1 0.553073 0 0.333333 0.375
0.033591 1 0.553073 0.333333 0.666667 0.375
0.031565 1 0.553073 0.333333 0 0.375
0.035497 1 0.553073 0.333333 1 0.375
0.032277 1 0.553073 0.333333 0.333333 0.375
0.031447 1 0.776536 0.666667 0.666667 0.375
0.028825 1 0.776536 0.666667 0 0.375
0.034068 1 0.776536 0.666667 1 0.375
0.030014 1 0.776536 0.666667 0.333333 0.375
0.03072 1 0.776536 1 0.666667 0.375
0.027097 1 0.776536 1 0 0.375
0.034413 1 0.776536 1 1 0.375
0.028521 1 0.776536 1 0.333333 0.375
0.037522 1 0.776536 0 0.666667 0.375
0.036329 1 0.776536 0 0 0.375
0.03919 1 0.776536 0 1 0.375
0.036446 1 0.776536 0 0.333333 0.375
0.033591 1 0.776536 0.333333 0.666667 0.375
0.031922 1 0.776536 0.333333 0 0.375
0.035735 1 0.776536 0.333333 1 0.375
0.032515 1 0.776536 0.333333 0.333333 0.375
0.031566 1 1 0.666667 0.666667 0.375
0.029063 1 1 0.666667 0 0.375
0.034306 1 1 0.666667 1 0.375
0.030014 1 1 0.666667 0.333333 0.375
0.030949 1 1 1 0.666667 0.375
0.027301 1 1 1 0 0.375
0.034638 1 1 1 1 0.375
0.028659 1 1 1 0.333333 0.375
0.037522 1 1 0 0.666667 0.375
0.03621 1 1 0 0 0.375
0.03919 1 1 0 1 0.375
0.036684 1 1 0 0.333333 0.375
0.03371 1 1 0.333333 0.666667 0.375
0.032041 1 1 0.333333 0 0.375
0.035735 1 1 0.333333 1 0.375
0.032515 1 1 0.333333 0.333333 0.375
0.030851 1 0.106145 0.666667 0.666667 0.375
0.027753 1 0.106145 0.666667 0 0.375
0.033234 1 0.106145 0.666667 1 0.375
0.029061 1 0.106145 0.666667 0.333333 0.375
0.029785 1 0.106145 1 0.666667 0.375
0.025762 1 0.106145 1 0 0.375
0.032988 1 0.106145 1 1 0.375
0.027496 1 0.106145 1 0.333333 0.375
0.036926 1 0.106145 0 0.666667 0.375
0.034304 1 0.106145 0 0 0.375
0.038713 1 0.106145 0 1 0.375
0.035731 1 0.106145 0 0.333333 0.375
0.033115 1 0.106145 0.333333 0.666667 0.375
0.030254 1 0.106145 0.333333 0 0.375
0.03514 1 0.106145 0.333333 1 0.375
0.031681 1 0.106145 0.333333 0.333333 0.375
0.031209 1 0.329609 0.666667 0.666667 0.375
0.028229 1 0.329609 0.666667 0 0.375
0.033591 1 0.329609 0.666667 1 0.375
0.029418 1 0.329609 0.666667 0.333333 0.375
0.030212 1 0.329609 1 0.666667 0.375
0.026318 1 0.329609 1 0 0.375
0.03363 1 0.329609 1 1 0.375
0.028033 1 0.329609 1 0.333333 0.375
0.037165 1 0.329609 0 0.666667 0.375
0.035495 1 0.329609 0 0 0.375
0.039071 1 0.329609 0 1 0.375
0.036088 1 0.329609 0 0.333333 0.375
0.033472 1 0.329609 0.333333 0.666667 0.375
0.031326 1 0.329609 0.333333 0 0.375
0.035378 1 0.329609 0.333333 1 0.375
0.032158 1 0.329609 0.333333 0.333333 0.375
0.023943 0 0.553073 0.666667 0.666667 1
0.024062 0 0.553073 0.666667 0 1
0.030492 0 0.553073 0.666667 1 1
0.023821 0 0.553073 0.666667 0.333333 1
0.027953 0 0.553073 1 0.666667 1
0.021646 0 0.553073 1 0 1
0.034547 0 0.553073 1 1 1
0.022348 0 0.553073 1 0.333333 1
0.032162 0 0.553073 0 0.666667 1
0.033234 0 0.553073 0 0 1
0.032874 0 0.553073 0 1 1
0.032277 0 0.553073 0 0.333333 1
0.026563 0 0.553073 0.333333 0.666667 1
0.028112 0 0.553073 0.333333 0 1
0.027038 0 0.553073 0.333333 1 1
0.026917 0 0.553073 0.333333 0.333333 1
0.024181 0 0.776536 0.666667 0.666667 1
0.024062 0 0.776536 0.666667 0 1
0.03073 0 0.776536 0.666667 1 1
0.024059 0 0.776536 0.666667 0.333333 1
0.028602 0 0.776536 1 0.666667 1
0.021892 0 0.776536 1 0 1
0.035049 0 0.776536 1 1 1
0.022508 0 0.776536 1 0.333333 1
0.032162 0 0.776536 0 0.666667 1
0.033353 0 0.776536 0 0 1
0.032874 0 0.776536 0 1 1
0.032277 0 0.776536 0 0.333333 1
0.026563 0 0.776536 0.333333 0.666667 1
0.027755 0 0.776536 0.333333 0 1
0.027157 0 0.776536 0.333333 1 1
0.026917 0 0.776536 0.333333 0.333333 1
0.024181 0 1 0.666667 0.666667 1
0.024062 0 1 0.666667 0 1
0.031206 0 1 0.666667 1 1
0.02394 0 1 0.666667 0.333333 1
0.028719 0 1 1 0.666667 1
0.022023 0 1 1 0 1
0.034924 0 1 1 1 1
0.022608 0 1 1 0.333333 1
0.032162 0 1 0 0.666667 1
0.033353 0 1 0 0 1
0.032874 0 1 0 1 1
0.032396 0 1 0 0.333333 1
0.026682 0 1 0.333333 0.666667 1
0.027993 0 1 0.333333 0 1
0.027157 0 1 0.333333 1 1
0.027036 0 1 0.333333 0.333333 1
0.02299 0 0.106145 0.666667 0.666667 1
0.023586 0 0.106145 0.666667 0 1
0.026442 0 0.106145 0.666667 1 1
0.022749 0 0.106145 0.666667 0.333333 1
0.022302 0 0.106145 1 0.666667 1
0.020792 0 0.106145 1 0 1
0.031017 0 0.106145 1 1 1
0.021117 0 0.106145 1 0.333333 1
0.031804 0 0.106145 0 0.666667 1
0.032519 0 0.106145 0 0 1
0.032755 0 0.106145 0 1 1
0.031801 0 0.106145 0 0.333333 1
0.026087 0 0.106145 0.333333 0.666667 1
0.02704 0 0.106145 0.333333 0 1
0.02668 0 0.106145 0.333333 1 1
0.026203 0 0.106145 0.333333 0.333333 1
0.023824 0 0.329609 0.666667 0.666667 1
0.023943 0 0.329609 0.666667 0 1
0.029539 0 0.329609 0.666667 1 1
0.023582 0 0.329609 0.666667 0.333333 1
0.026654 0 0.329609 1 0.666667 1
0.021491 0 0.329609 1 0 1
0.034018 0 0.329609 1 1 1
0.021997 0 0.329609 1 0.333333 1
0.032043 0 0.329609 0 0.666667 1
0.032996 0 0.329609 0 0 1
0.032755 0 0.329609 0 1 1
0.032158 0 0.329609 0 0.333333 1
0.026444 0 0.329609 0.333333 0.666667 1
0.027874 0 0.329609 0.333333 0 1
0.026919 0 0.329609 0.333333 1 1
0.026798 0 0.329609 0.333333 0.333333 1
0.025015 0.5 0.553073 0.666667 0.666667 1
0.024777 0.5 0.553073 0.666667 0 1
0.027276 0.5 0.553073 0.666667 1 1
0.024654 0.5 0.553073 0.666667 0.333333 1
0.02537 0.5 0.553073 1 0.666667 1
0.022511 0.5 0.553073 1 0 1
0.031131 0.5 0.553073 1 1 1
0.023011 0.5 0.553073 1 0.333333 1
0.032519 0.5 0.553073 0 0.666667 1
0.033592 0.5 0.553073 0 0 1
0.032993 0.5 0.553073 0 1 1
0.032753 0.5 0.553073 0 0.333333 1
0.027635 0.5 0.553073 0.333333 0.666667 1
0.028231 0.5 0.553073 0.333333 0 1
0.028229 0.5 0.553073 0.333333 1 1
0.027751 0.5 0.553073 0.333333 0.333333 1
0.025134 0.5 0.776536 0.666667 0.666667 1
0.024896 0.5 0.776536 0.666667 0 1
0.027633 0.5 0.776536 0.666667 1 1
0.024773 0.5 0.776536 0.666667 0.333333 1
0.026013 0.5 0.776536 1 0.666667 1
0.022548 0.5 0.776536 1 0 1
0.031747 0.5 0.776536 1 1 1
0.023316 0.5 0.776536 1 0.333333 1
0.032638 0.5 0.776536 0 0.666667 1
0.033592 0.5 0.776536 0 0 1
0.032993 0.5 0.776536 0 1 1
0.032872 0.5 0.776536 0 0.333333 1
0.027754 0.5 0.776536 0.333333 0.666667 1
0.028589 0.5 0.776536 0.333333 0 1
0.028348 0.5 0.776536 0.333333 1 1
0.02787 0.5 0.776536 0.333333 0.333333 1
0.025253 0.5 1 0.666667 0.666667 1
0.025015 0.5 1 0.666667 0 1
0.027871 0.5 1 0.666667 1 1
0.024893 0.5 1 0.666667 0.333333 1
0.026028 0.5 1 1 0.666667 1
0.022696 0.5 1 1 0 1
0.031893 0.5 1 1 1 1
0.023236 0.5 1 1 0.333333 1
0.032638 0.5 1 0 0.666667 1
0.033711 0.5 1 0 0 1
0.033112 0.5 1 0 1 1
0.032992 0.5 1 0 0.333333 1
0.027754 0.5 1 0.333333 0.666667 1
0.028469 0.5 1 0.333333 0 1
0.028348 0.5 1 0.333333 1 1
0.027989 0.5 1 0.333333 0.333333 1
0.0243 0.5 0.106145 0.666667 0.666667 1
0.024062 0.5 0.106145 0.666667 0 1
0.025966 0.5 0.106145 0.666667 1 1
0.023702 0.5 0.106145 0.666667 0.333333 1
0.024328 0.5 0.106145 1 0.666667 1
0.02145 0.5 0.106145 1 0 1
0.028571 0.5 0.106145 1 1 1
0.021845 0.5 0.106145 1 0.333333 1
0.031924 0.5 0.106145 0 0.666667 1
0.032758 0.5 0.106145 0 0 1
0.032636 0.5 0.106145 0 1 1
0.032039 0.5 0.106145 0 0.333333 1
0.02704 0.5 0.106145 0.333333 0.666667 1
0.027874 0.5 0.106145 0.333333 0 1
0.027871 0.5 0.106145 0.333333 1 1
0.027036 0.5 0.106145 0.333333 0.333333 1
0.024776 0.5 0.329609 0.666667 0.666667 1
0.024658 0.5 0.329609 0.666667 0 1
0.026919 0.5 0.329609 0.666667 1 1
0.024416 0.5 0.329609 0.666667 0.333333 1
0.024968 0.5 0.329609 1 0.666667 1
0.022231 0.5 0.329609 1 0 1
0.030368 0.5 0.329609 1 1 1
0.022703 0.5 0.329609 1 0.333333 1
0.0324 0.5 0.329609 0 0.666667 1
0.033592 0.5 0.329609 0 0 1
0.032874 0.5 0.329609 0 1 1
0.032634 0.5 0.329609 0 0.333333 1
