# Wed Apr  3 10:42:34 2019

# input dimensionality
5

# covariance function
CovSum(CovSEiso, CovNoise)

# log-hyperparameter
0.1295303991 -3.698674232 -7.704806838 

# data (target value in first column)
0.039581 0.5 0.329609 0.666667 1 0
0.03275 0.5 0.329609 0.666667 0.333333 0
0.034842 0.5 0.329609 1 0.666667 0
0.029032 0.5 0.329609 1 0 0
0.039396 0.5 0.329609 1 1 0
0.031502 0.5 0.329609 1 0.333333 0
0.040612 0.5 0.329609 0 0.666667 0
0.036571 0.5 0.329609 0 0 0
0.043192 0.5 0.329609 0 1 0
0.038466 0.5 0.329609 0 0.333333 0
0.037515 0.5 0.329609 0.333333 0.666667 0
0.032997 0.5 0.329609 0.333333 0 0
0.040649 0.5 0.329609 0.333333 1 0
0.034894 0.5 0.329609 0.333333 0.333333 0
0.038468 1 0.553073 0.666667 0.666667 0
0.033802 1 0.553073 0.666667 0 0
0.041732 1 0.553073 0.666667 1 0
0.035727 1 0.553073 0.666667 0.333333 0
0.037259 1 0.553073 1 0.666667 0
0.032003 1 0.553073 1 0 0
0.041129 1 0.553073 1 1 0
0.034126 1 0.553073 1 0.333333 0
0.043947 1 0.553073 0 0.666667 0
0.040145 1 0.553073 0 0 0
0.046106 1 0.553073 0 1 0
0.041563 1 0.553073 0 0.333333 0
0.040612 1 0.553073 0.333333 0.666667 0
0.036333 1 0.553073 0.333333 0 0
0.043332 1 0.553073 0.333333 1 0
0.038109 1 0.553073 0.333333 0.333333 0
0.038587 1 0.776536 0.666667 0.666667 0
0.033905 1 0.776536 0.666667 0 0
0.041815 1 0.776536 0.666667 1 0
0.035846 1 0.776536 0.666667 0.333333 0
0.037371 1 0.776536 1 0.666667 0
0.032151 1 0.776536 1 0 0
0.041431 1 0.776536 1 1 0
0.034257 1 0.776536 1 0.333333 0
0.043947 1 0.776536 0 0.666667 0
0.040264 1 0.776536 0 0 0
0.046141 1 0.776536 0 1 0
0.041682 1 0.776536 0 0.333333 0
0.040612 1 0.776536 0.333333 0.666667 0
0.036571 1 0.776536 0.333333 0 0
0.043345 1 0.776536 0.333333 1 0
0.038228 1 0.776536 0.333333 0.333333 0
0.038587 1 1 0.666667 0.666667 0
0.034156 1 1 0.666667 0 0
0.041987 1 1 0.666667 1 0
0.035966 1 1 0.666667 0.333333 0
0.037504 1 1 1 0.666667 0
0.032275 1 1 1 0 0
0.041369 1 1 1 1 0
0.034533 1 1 1 0.333333 0
0.043947 1 1 0 0.666667 0
0.040502 1 1 0 0 0
0.046266 1 1 0 1 0
0.041801 1 1 0 0.333333 0
0.040612 1 1 0.333333 0.666667 0
0.036452 1 1 0.333333 0 0
0.04346 1 1 0.333333 1 0
0.038228 1 1 0.333333 0.333333 0
0.038111 1 0.106145 0.666667 0.666667 0
0.033284 1 0.106145 0.666667 0 0
0.041351 1 0.106145 0.666667 1 0
0.035489 1 0.106145 0.666667 0.333333 0
0.036683 1 0.106145 1 0.666667 0
0.03141 1 0.106145 1 0 0
0.040411 1 0.106145 1 1 0
0.033743 1 0.106145 1 0.333333 0
0.043708 1 0.106145 0 0.666667 0
0.038954 1 0.106145 0 0 0
0.045939 1 0.106145 0 1 0
0.040967 1 0.106145 0 0.333333 0
0.040374 1 0.106145 0.333333 0.666667 0
0.035856 1 0.106145 0.333333 0 0
0.043081 1 0.106145 0.333333 1 0
0.037871 1 0.106145 0.333333 0.333333 0
0.038349 1 0.329609 0.666667 0.666667 0
0.033528 1 0.329609 0.666667 0 0
0.041604 1 0.329609 0.666667 1 0
0.035608 1 0.329609 0.666667 0.333333 0
0.036972 1 0.329609 1 0.666667 0
0.031733 1 0.329609 1 0 0
0.040763 1 0.329609 1 1 0
0.034008 1 0.329609 1 0.333333 0
0.043708 1 0.329609 0 0.666667 0
0.039907 1 0.329609 0 0 0
0.046031 1 0.329609 0 1 0
0.041563 1 0.329609 0 0.333333 0
0.040493 1 0.329609 0.333333 0.666667 0
0.036214 1 0.329609 0.333333 0 0
0.043158 1 0.329609 0.333333 1 0
0.03799 1 0.329609 0.333333 0.333333 0
0.023458 0 0 0.666667 0.666667 0.375
0.022274 0 0 0.666667 0 0.375
0.025893 0 0 0.666667 1 0.375
0.02251 0 0 0.666667 0.333333 0.375
0.023235 0 0 1 0.666667 0.375
0.019919 0 0 1 0 0.375
0.026681 0 0 1 1 0.375
0.020116 0 0 1 0.333333 0.375
0.032751 0 0 0 0.666667 0.375
0.030969 0 0 0 0 0.375
0.03312 0 0 0 1 0.375
0.031324 0 0 0 0.333333 0.375
0.027069 0 0 0.333333 0.666667 0.375
0.025966 0 0 0.333333 0 0.375
0.027846 0 0 0.333333 1 0.375
0.026203 0 0 0.333333 0.333333 0.375
0.025103 0.5 0 0.666667 0.666667 0.375
0.022869 0.5 0 0.666667 0 0.375
0.028008 0.5 0 0.666667 1 0.375
0.023582 0.5 0 0.666667 0.333333 0.375
0.024625 0.5 0 1 0.666667 0.375
0.020478 0.5 0 1 0 0.375
0.027434 0.5 0 1 1 0.375
0.021439 0.5 0 1 0.333333 0.375
0.033108 0.5 0 0 0.666667 0.375
0.031445 0.5 0 0 0 0.375
0.033994 0.5 0 0 1 0.375
0.03192 0.5 0 0 0.333333 0.375
0.028078 0.5 0 0.333333 0.666667 0.375
0.026324 0.5 0 0.333333 0 0.375
0.029416 0.5 0 0.333333 1 0.375
0.026917 0.5 0 0.333333 0.333333 0.375
0.028615 1 0 0.666667 0.666667 0.375
0.025609 1 0 0.666667 0 0.375
0.031335 1 0 0.666667 1 0.375
0.026798 1 0 0.666667 0.333333 0.375
0.028171 1 0 1 0.666667 0.375
0.023554 1 0 1 0 0.375
0.030457 1 0 1 1 0.375
0.024797 1 0 1 0.333333 0.375
0.035728 1 0 0 0.666667 0.375
0.032994 1 0 0 0 0.375
0.037071 1 0 0 1 0.375
0.034421 1 0 0 0.333333 0.375
0.03139 1 0 0.333333 0.666667 0.375
0.028944 1 0 0.333333 0 0.375
0.033181 1 0 0.333333 1 0.375
0.029895 1 0 0.333333 0.333333 0.375
0.021796 0 0 0.666667 0.666667 1
0.021796 0 0 0.666667 0 1
0.022866 0 0 0.666667 1 1
0.02168 0 0 0.666667 0.333333 1
0.020136 0 0 1 0.666667 1
0.018691 0 0 1 0 1
0.022271 0 0 1 1 1
0.019247 0 0 1 0.333333 1
0.030967 0 0 0 0.666667 1
0.03061 0 0 0 0 1
0.032393 0 0 0 1 1
0.030733 0 0 0 0.333333 1
0.025607 0 0 0.333333 0.666667 1
0.025369 0 0 0.333333 0 1
0.026676 0 0 0.333333 1 1
0.025491 0 0 0.333333 0.333333 1
0.023106 0.5 0 0.666667 0.666667 1
0.022272 0.5 0 0.666667 0 1
0.024295 0.5 0 0.666667 1 1
0.022394 0.5 0 0.666667 0.333333 1
0.021592 0.5 0 1 0.666667 1
0.019513 0.5 0 1 0 1
0.023685 0.5 0 1 1 1
0.020196 0.5 0 1 0.333333 1
0.031324 0.5 0 0 0.666667 1
0.030729 0.5 0 0 0 1
0.032274 0.5 0 0 1 1
0.030852 0.5 0 0 0.333333 1
0.026203 0.5 0 0.333333 0.666667 1
0.025369 0.5 0 0.333333 0 1
0.027272 0.5 0 0.333333 1 1
0.02573 0.5 0 0.333333 0.333333 1
0.026441 1 0 0.666667 0.666667 1
0.024059 1 0 0.666667 0 1
0.028106 1 0 0.666667 1 1
0.024539 1 0 0.666667 0.333333 1
0.024511 1 0 1 0.666667 1
0.020646 1 0 1 0 1
0.026805 1 0 1 1 1
0.023109 1 0 1 0.333333 1
0.033587 1 0 0 0.666667 1
0.030729 1 0 0 0 1
0.034894 1 0 0 1 1
0.032519 1 0 0 0.333333 1
0.028823 1 0 0.333333 0.666667 1
0.027036 1 0 0.333333 0 1
0.030487 1 0 0.333333 1 1
0.027516 1 0 0.333333 0.333333 1
0.02968 0 0 0.666667 0.666667 0
0.02512 0 0 0.666667 0 0
0.026981 0 0 0.666667 0.333333 0
0.034601 0 0 1 0.666667 0
0.023166 0 0 1 0 0
0.025405 0 0 1 0.333333 0
0.035492 0 0 0 0.666667 0
0.03287 0 0 0 0 0
0.039864 0 0 0 1 0
0.034041 0 0 0 0.333333 0
0.031719 0 0 0.333333 0.666667 0
0.028147 0 0 0.333333 0 0
0.02967 0 0 0.333333 0.333333 0
0.031585 0.5 0 0.666667 0.666667 0
0.027092 0.5 0 0.666667 0 0
0.029027 0.5 0 0.666667 0.333333 0
0.034048 0.5 0 1 0.666667 0
0.025108 0.5 0 1 0 0
0.027135 0.5 0 1 0.333333 0
0.037648 0.5 0 0 0.666667 0
0.034538 0.5 0 0 0 0
0.039507 0.5 0 0 1 0
0.03595 0.5 0 0 0.333333 0
0.0337 0.5 0 0.333333 0.666667 0
0.030185 0.5 0 0.333333 0 0
0.036835 0.5 0 0.333333 1 0
0.03181 0.5 0 0.333333 0.333333 0
0.034386 1 0 0.666667 0.666667 0
0.030343 1 0 0.666667 0 0
0.032242 1 0 0.666667 0.333333 0
0.034987 1 0 1 0.666667 0
0.028085 1 0 1 0 0
0.03012 1 0 1 0.333333 0
0.041104 1 0 0 0.666667 0
0.037753 1 0 0 0 0
0.04273 1 0 0 1 0
0.03942 1 0 0 0.333333 0
0.036919 1 0 0.333333 0.666667 0
0.033541 1 0 0.333333 0 0
0.040157 1 0 0.333333 1 0
0.035103 1 0 0.333333 0.333333 0
